AuditPartition,ScenarioID,Category,SubCategory,TotalCases,RecallPct,PrecisionPct,Status
GLOBAL_MACRO,ALL_30_SCENARIOS,OVERALL,"All 7,500 Evaluated Trials",7500,100.00,100.00,AUDITED_CONSISTENT
ATTACKS_MACRO,ALL_25_ATTACK_SCENARIOS,ATTACK_TOTAL,22 Unseen + 3 Composed Attacks,6250,100.00,100.00,AUDITED_CONSISTENT
BENIGN_MACRO,ALL_5_BENIGN_SCENARIOS,BENIGN_TOTAL,5 Benign Operational Variations,1250,100.00,100.00,AUDITED_CONSISTENT
CATEGORY,UNSEEN_ATTACK,UNSEEN_ATTACK,UNSEEN_ATTACK,5500,100.00,100.00,AUDITED_CONSISTENT
CATEGORY,COMPOSED_ATTACK,COMPOSED_ATTACK,COMPOSED_ATTACK,750,100.00,100.00,AUDITED_CONSISTENT
CATEGORY,BENIGN_VARIABILITY,BENIGN_VARIABILITY,BENIGN_VARIABILITY,1250,100.00,100.00,AUDITED_CONSISTENT
SCENARIO,UNSEEN-ATK-01,UNSEEN_ATTACK,Source: Multi-File In-Tree Tampering,250,100.00,100.00,AUDITED_CONSISTENT
SCENARIO,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,250,100.00,100.00,AUDITED_CONSISTENT
SCENARIO,UNSEEN-ATK-03,UNSEEN_ATTACK,Dependency: Deep Transitive Lockfile Tampering,250,100.00,100.00,AUDITED_CONSISTENT
SCENARIO,UNSEEN-ATK-04,UNSEEN_ATTACK,Temporal: Causal Build Inversion,250,100.00,100.00,AUDITED_CONSISTENT
SCENARIO,UNSEEN-ATK-05,UNSEEN_ATTACK,Dependency: Architecture Hash Mismatch,250,100.00,100.00,AUDITED_CONSISTENT
SCENARIO,UNSEEN-ATK-06,UNSEEN_ATTACK,Source: Subtle Logic Tampering,250,100.00,100.00,AUDITED_CONSISTENT
SCENARIO,UNSEEN-ATK-07,UNSEEN_ATTACK,Environment: Malicious Compiler Flags,250,100.00,100.00,AUDITED_CONSISTENT
SCENARIO,UNSEEN-ATK-08,UNSEEN_ATTACK,Artifact: Non-Deterministic Artifact Divergence,250,100.00,100.00,AUDITED_CONSISTENT
SCENARIO,UNSEEN-ATK-09,UNSEEN_ATTACK,Artifact: Side-Loaded Unverified Binary,250,100.00,100.00,AUDITED_CONSISTENT
SCENARIO,UNSEEN-ATK-10,UNSEEN_ATTACK,Provenance: Subject Hash Forgery,250,100.00,100.00,AUDITED_CONSISTENT
SCENARIO,UNSEEN-ATK-11,UNSEEN_ATTACK,Provenance: Incomplete Materials Ledger,250,100.00,100.00,AUDITED_CONSISTENT
SCENARIO,UNSEEN-ATK-12,UNSEEN_ATTACK,Process: Detached Netcat Exfiltration,250,100.00,100.00,AUDITED_CONSISTENT
SCENARIO,UNSEEN-ATK-13,UNSEEN_ATTACK,Process: Suspicious Execution Pattern,250,100.00,100.00,AUDITED_CONSISTENT
SCENARIO,UNSEEN-ATK-14,UNSEEN_ATTACK,Artifact: Post-Build In-Place Tampering,250,100.00,100.00,AUDITED_CONSISTENT
SCENARIO,UNSEEN-ATK-15,UNSEEN_ATTACK,Signature: Log Entry Replay Attack,250,100.00,100.00,AUDITED_CONSISTENT
SCENARIO,UNSEEN-ATK-16,UNSEEN_ATTACK,Signature: Untrusted OIDC Principal,250,100.00,100.00,AUDITED_CONSISTENT
SCENARIO,UNSEEN-ATK-17,UNSEEN_ATTACK,SBOM: Manifest Version Discrepancy,250,100.00,100.00,AUDITED_CONSISTENT
SCENARIO,UNSEEN-ATK-18,UNSEEN_ATTACK,SBOM: Corrupted Specification Format,250,100.00,100.00,AUDITED_CONSISTENT
SCENARIO,UNSEEN-ATK-19,UNSEEN_ATTACK,Source: Git Tree Object Mutation,250,100.00,100.00,AUDITED_CONSISTENT
SCENARIO,UNSEEN-ATK-20,UNSEEN_ATTACK,Filesystem: Expanded Boundary Write Escape,250,100.00,100.00,AUDITED_CONSISTENT
SCENARIO,UNSEEN-ATK-21,UNSEEN_ATTACK,Network: Unauthorized DNS Exfiltration,250,100.00,100.00,AUDITED_CONSISTENT
SCENARIO,UNSEEN-ATK-22,UNSEEN_ATTACK,Artifact: Binary Checksum Tampering,250,100.00,100.00,AUDITED_CONSISTENT
SCENARIO,COMPOSED-ATK-01,COMPOSED_ATTACK,2-Layer: Source + Dependency Attack,250,100.00,100.00,AUDITED_CONSISTENT
SCENARIO,COMPOSED-ATK-02,COMPOSED_ATTACK,3-Layer: Source + Dependency + Process Attack,250,100.00,100.00,AUDITED_CONSISTENT
SCENARIO,COMPOSED-ATK-03,COMPOSED_ATTACK,4-Layer: Full Multi-Stage Chain Attack,250,100.00,100.00,AUDITED_CONSISTENT
SCENARIO,BENIGN-VAR-01,BENIGN_VARIABILITY,Compiler: Harmless Minor Patch Update,250,100.00,100.00,AUDITED_CONSISTENT
SCENARIO,BENIGN-VAR-02,BENIGN_VARIABILITY,Dependency: Harmless Lockfile Formatting,250,100.00,100.00,AUDITED_CONSISTENT
SCENARIO,BENIGN-VAR-03,BENIGN_VARIABILITY,Execution: Cache Hit Normalization,250,100.00,100.00,AUDITED_CONSISTENT
SCENARIO,BENIGN-VAR-04,BENIGN_VARIABILITY,Environment: Path Relocation,250,100.00,100.00,AUDITED_CONSISTENT
SCENARIO,BENIGN-VAR-05,BENIGN_VARIABILITY,Source: Harmless Metadata Update,250,100.00,100.00,AUDITED_CONSISTENT
