Benchmark,InputSize,MeasurementScope,MeanMicros,MedianMicros,P95Micros,P99Micros,StdDevMicros,Throughput,CPU,MemoryKB,DiskIO,IsEndToEnd
Evidence Pipeline Stage Breakdown (A. Data Generation),100 Events,Subsystem Microbenchmark (Isolated),0.0,0.0,0.0,0.0,0.0,0.0 events/s,1 core,36,In-Memory,false
Evidence Pipeline Stage Breakdown (B. Evidence Ingestion & Parsing),100 Events,Subsystem Microbenchmark (Isolated),1.0,1.0,1.0,1.0,0.0,100000000.0 events/s,1 core,36,In-Memory,false
Evidence Pipeline Stage Breakdown (C. Normalization & Log Append),100 Events,Subsystem Microbenchmark (Isolated),53.3,2.0,515.0,515.0,153.9,1876172.6 events/s,1 core,36,In-Memory,false
Evidence Pipeline Stage Breakdown (D. Trust Graph 2.0 Construction),100 Events,Subsystem Microbenchmark (Isolated),5.0,5.0,5.0,5.0,0.0,20000000.0 events/s,1 core,36,In-Memory,false
Evidence Pipeline Stage Breakdown (E. In-Memory Correlation Rules),100 Events,Subsystem Microbenchmark (Isolated),5.0,5.0,5.0,5.0,0.0,20000000.0 events/s,1 core,36,In-Memory,false
Evidence Pipeline Stage Breakdown (F. Policy Security Decision),100 Events,Subsystem Microbenchmark (Isolated),2.0,2.0,2.0,2.0,0.0,50000000.0 events/s,1 core,36,In-Memory,false
Evidence Pipeline Stage Breakdown (G. Serialization (JSON)),100 Events,Subsystem Microbenchmark (Isolated),5.0,5.0,5.0,5.0,0.0,20000000.0 events/s,1 core,36,In-Memory,false
Evidence Pipeline Stage Breakdown (END-TO-END PIPELINE (A through G)),100 Events,Comprehensive Pipeline (Full Generation to Serialization),71.3,20.0,533.0,533.0,153.9,1402524.5 events/s,1 core,36,In-Memory,true
Evidence Pipeline Stage Breakdown (A. Data Generation),1000 Events,Subsystem Microbenchmark (Isolated),102.9,0.0,519.0,519.0,205.8,9718173.0 events/s,1 core,169,In-Memory,false
Evidence Pipeline Stage Breakdown (B. Evidence Ingestion & Parsing),1000 Events,Subsystem Microbenchmark (Isolated),1.0,1.0,1.0,1.0,0.0,1000000000.0 events/s,1 core,169,In-Memory,false
Evidence Pipeline Stage Breakdown (C. Normalization & Log Append),1000 Events,Subsystem Microbenchmark (Isolated),59.5,2.0,577.0,577.0,172.5,16806722.7 events/s,1 core,169,In-Memory,false
