Benchmark,InputSize,MeasurementScope,MeanMicros,MedianMicros,P95Micros,P99Micros,StdDevMicros,Throughput,CPU,MemoryKB,DiskIO,IsEndToEnd
Evidence Pipeline Stage Breakdown (A. Data Generation),100 Events,Subsystem Microbenchmark (Isolated),0.0,0.0,0.0,0.0,0.0,0.0 events/s,1 core,36,In-Memory,false
Evidence Pipeline Stage Breakdown (B. Evidence Ingestion & Parsing),100 Events,Subsystem Microbenchmark (Isolated),1.0,1.0,1.0,1.0,0.0,100000000.0 events/s,1 core,36,In-Memory,false
Evidence Pipeline Stage Breakdown (C. Normalization & Log Append),100 Events,Subsystem Microbenchmark (Isolated),2.0,2.0,2.0,2.0,0.0,50000000.0 events/s,1 core,36,In-Memory,false
Evidence Pipeline Stage Breakdown (D. Trust Graph 2.0 Construction),100 Events,Subsystem Microbenchmark (Isolated),5.0,5.0,5.0,5.0,0.0,20000000.0 events/s,1 core,36,In-Memory,false
Evidence Pipeline Stage Breakdown (E. In-Memory Correlation Rules),100 Events,Subsystem Microbenchmark (Isolated),5.0,5.0,5.0,5.0,0.0,20000000.0 events/s,1 core,36,In-Memory,false
Evidence Pipeline Stage Breakdown (F. Policy Security Decision),100 Events,Subsystem Microbenchmark (Isolated),2.0,2.0,2.0,2.0,0.0,50000000.0 events/s,1 core,36,In-Memory,false
Evidence Pipeline Stage Breakdown (G. Serialization (JSON)),100 Events,Subsystem Microbenchmark (Isolated),55.9,5.0,514.0,514.0,152.7,1788908.8 events/s,1 core,36,In-Memory,false
Evidence Pipeline Stage Breakdown (END-TO-END PIPELINE (A through G)),100 Events,Comprehensive Pipeline (Full Generation to Serialization),70.9,20.0,529.0,529.0,152.7,1410437.2 events/s,1 core,36,In-Memory,true
Evidence Pipeline Stage Breakdown (A. Data Generation),1000 Events,Subsystem Microbenchmark (Isolated),158.0,0.0,550.0,550.0,241.5,6329113.9 events/s,1 core,169,In-Memory,false
Evidence Pipeline Stage Breakdown (B. Evidence Ingestion & Parsing),1000 Events,Subsystem Microbenchmark (Isolated),1.0,1.0,1.0,1.0,0.0,1000000000.0 events/s,1 core,169,In-Memory,false
Evidence Pipeline Stage Breakdown (C. Normalization & Log Append),1000 Events,Subsystem Microbenchmark (Isolated),2.0,2.0,2.0,2.0,0.0,500000000.0 events/s,1 core,169,In-Memory,false
